,Kilómetraje,Precio,Lugar,Negociacion,Categoría,Marca,Subtipo,Modelo,Publicación,Recorrido,Vidrios,Transmisión,Combustible,Sistema de climatización,Tracción,Color,Último número de la placa,Dirección,Motor(cilindraje),Tapizado,Placa,Tipo de Motor,Entrada desde,Cuotas desde,Número de cuotas,Sistemadeclimatización,Últimonúmerodelaplaca,TipodeMotor,Entradadesde,Cuotasdesde,Númerodecuotas
2125,193000,10.9,Quito,Negociable,USED,Volkswagen,Sedán,JETTA EUROPA 2.0,,,,,,,,,,,,,,,,,,,,,,,
2126,0,23.0,Quito,Negociable,NEW,Chery,Sedán,Arrizo 5,,,,,,,,,,,,,,,,,,,,,,,
2127,0,19.0,Quito,Fijo,NEW,DongFeng,Camioneta Cabina Simple,NEW RICH 6 4X2 GASOLINA,,,,,,,,,,,,,,,,,,,,,,,
2128,226000,22.0,Quito,Negociable,USED,Toyota,Sedán,Prius Hybrido,,,,,,,,,,,,,,,,,,,,,,,
2129,49788,66.0,Quito,Negociable,USED,Kia,Sedán,NIRO Hibrido,,,,,,,,,,,,,,,,,,,,,,,
2130,27488,64.5,Quito,Negociable,USED,Kia,Crossover,Stonic,,,,,,,,,,,,,,,,,,,,,,,
2131,18696,32.0,Quito,Negociable,USED,Kia,Sedán,Cerato GT,,,,,,,,,,,,,,,,,,,,,,,
2132,55000,,Quito,Negociable,USED,Mercedes Benz,Sedán,C63 AMG,,,,,,,,,,,,,,,,,,,,,,,
2133,17000,,Quito,Negociable,USED,Toyota,Todoterreno,Fortuner 4.0,,,,,,,,,,,,,,,,,,,,,,,
2134,36000,,Quito,Negociable,USED,Mazda,Todoterreno,CX-9 TOP GRADE,#1721451,128259 Kms,Eléctricos,Tiptronic,Gasolina,Aire Acondicionado,4 x 4,Celeste,0.0,,3700.0,Cuero,Pichincha,,,,,,,,,,
2135,97782,21.9,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-MAX,,,,,,,,,,,,,,,,,,,,,,,
2136,120836,16.4,Quito,Negociable,USED,Toyota,Todoterreno,Highlander Hibrido,,,,,,,,,,,,,,,,,,,,,,,
2137,112600,14.99,Guayaquil,Negociable,USED,Great Wall,Todoterreno,H5 TURBO 4X4 AC,,,,,,,,,,,,,,,,,,,,,,,
2138,24000,33.8,Atuntaqui,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-max Crdi 2.5 CD 4x4 TM Diesel,,,,,,,,,,,,,,,,,,,,,,,
2139,150000,10.0,Quito,Negociable,USED,Hyundai,Sedán,Accent New,,,,,,,,,,,,,,,,,,,,,,,
2140,41000,22.5,Quito,Fijo,USED,Kia,Todoterreno,SPORTAGE SL,,,,,,,,,,,,,,,,,,,,,,,
2141,20000,15.0,Sangolqui,Negociable,USED,Toyota,Todoterreno,Land Cruiser FJ40,,,,,,,,,,,,,,,,,,,,,,,
2142,90,21.9,Quito,Negociable,USED,Mitsubishi,Todoterreno,ASX,,,,,,,,,,,,,,,,,,,,,,,
2143,213000,8.9,Quito,Negociable,USED,Hyundai,Todoterreno,Santa Fe,,,,,,,,,,,,,,,,,,,,,,,
2144,199,5.9,Quito,Negociable,USED,Volkswagen,Hatchback (3 Puertas),Polo Sport,,,,,,,,,,,,,,,,,,,,,,,
2145,0,16.99,Ambato,Fijo,NEW,Soueast,Sedán,A5,,,,,,,,,,,,,,,,,,,,,,,
2146,59878,20.0,Ambato,Fijo,USED,Great Wall,Todoterreno,Haval H6,,,,,,,,,,,,,,,,,,,,,,,
2147,81000,30.9,Quito,Fijo,USED,Kia,Todoterreno,Sorento,,,,,,,,,,,,,,,,,,,,,,,
2148,122296,50.9,Quito,Negociable,USED,BMW,Convertible,335i,,,,,,,,,,,,,,,,,,,,,,,
2149,5870,144.9,Quito,Negociable,USED,Porsche,Todoterreno,Cayenne E Coupe,,,,,,,,,,,,,,,,,,,,,,,
2150,95,149.9,Quito,Negociable,USED,Jaguar,Otro,F-Type,,,,,,,,,,,,,,,,,,,,,,,
2151,264618,15.4,Quito,Negociable,USED,Great Wall,Todoterreno,Hover H5 Elite,,,,,,,,,,,,,,,,,,,,,,,
2152,103000,14.9,Quito,Negociable,USED,Great Wall,Todoterreno,H5 Turbo,,,,,,,,,,,,,,,,,,,,,,,
2153,63979,12.4,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,,,,,,,
2154,55208,12.9,Quito,Negociable,USED,Chevrolet,Sedán,Sail,,,,,,,,,,,,,,,,,,,,,,,
2155,62000,18.4,Quito,Negociable,USED,DFSK,Hatchback (5 Puertas),GLORY 560,,,,,,,,,,,,,,,,,,,,,,,
2156,93350,13.9,Quito,Negociable,USED,Mazda,Sedán,6,,,,,,,,,,,,,,,,,,,,,,,
2157,216000,15.7,Quito,Negociable,USED,Kia,Todoterreno,Sportage,,,,,,,,,,,,,,,,,,,,,,,
2158,204000,12.8,Quito,Negociable,USED,Kia,Sedán,Rio Stylus,,,,,,,,,,,,,,,,,,,,,,,
2159,106000,20.9,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,,,,,,,
2160,98990,10.9,Quito,Negociable,USED,Great Wall,Sedán,Voleex C30,,,,,,,,,,,,,,,,,,,,,,,
2161,152000,15.9,Quito,Negociable,USED,Ford,Todoterreno,Ranger,,,,,,,,,,,,,,,,,,,,,,,
2162,486000,10.9,Quito,Negociable,USED,Nissan,Todoterreno,Patrol,,,,,,,,,,,,,,,,,,,,,,,
2163,25216,12.9,Quito,Negociable,USED,Haval,Todoterreno,M4,,,,,,,,,,,,,,,,,,,,,,,
2164,28300,61.9,Quito,Negociable,USED,Mahindra,Camioneta Doble Cabina,Pick UP CD,,,,,,,,,,,,,,,,,,,,,,,
2165,131500,34.0,Quito,Negociable,USED,Renault,Hatchback (5 Puertas),Sandero,,,,,,,,,,,,,,,,,,,,,,,
2166,78000,10.9,Cuenca,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,,,,,,,
2167,45695,,Quito,Negociable,USED,Ford,Todoterreno,Explorer XLT,,,,,,,,,,,,,,,,,,,,,,,
2168,24000,,Quito,Negociable,USED,Volkswagen,Todoterreno,Tiguan,,,,,,,,,,,,,,,,,,,,,,,
2169,205,,Quito,Negociable,USED,Great Wall,Todoterreno,H5 Turbo,#1717648,103000 Kms,,Manual,Gasolina,,4 x 4,Plata,8.0,,2000.0,,Pichincha,,,,,,,,,,
2170,216,9.3,Quito,Negociable,USED,Chevrolet,Sedán,Aveo Emotion,,,,,,,,,,,,,,,,,,,,,,,
2171,0,22.99,Quito,Fijo,NEW,Toyota,Todoterreno Ligero,RAIZE,,,,,,,,,,,,,,,,,,,,,,,
2172,0,34.2,Quito,Fijo,NEW,Toyota,Station Wagon,Corolla 1.8,,,,,,,,,,,,,,,,,,,,,,,
2173,67000,26.5,Ibarra,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-MAX CRDI  3.0 CD 4X2  DIESEL,,,,,,,,,,,,,,,,,,,,,,,
2174,63000,26.9,Ibarra,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-MAX CRDI  3.0 CD 4X2  DIESEL,,,,,,,,,,,,,,,,,,,,,,,
2175,48458,95.0,Quito,Negociable,USED,BMW,Otro,1M,,,,,,,,,,,,,,,,,,,,,,,
2176,53537,54.5,Quito,Negociable,USED,Toyota,Todoterreno,Fortuner 4.0,,,,,,,,,,,,,,,,,,,,,,,
2177,87000,44.0,Quito,Negociable,USED,Jeep,Todoterreno,Grand Cherokee Laredo,,,,,,,,,,,,,,,,,,,,,,,
2178,111000,22.5,Quito,Negociable,USED,BMW,Sedán,330i,,,,,,,,,,,,,,,,,,,,,,,
2179,151040,33.9,Quito,Negociable,USED,Kia,Todoterreno,Sportage,,,,,,,,,,,,,,,,,,,,,,,
2180,54000,19.9,Quito,Negociable,USED,Mini,Hatchback (3 Puertas),Cooper,,,,,,,,,,,,,,,,,,,,,,,
2181,47021,19.9,Quito,Negociable,USED,Suzuki,Todoterreno Ligero,S-Cross,,,,,,,,,,,,,,,,,,,,,,,
2182,79000,14.9,Quito,Negociable,USED,Kia,Sedán,NIRO Hibrido,,,,,,,,,,,,,,,,,,,,,,,
2183,125000,14.9,Quito,Negociable,USED,Volkswagen,Sedán,Polo,,,,,,,,,,,,,,,,,,,,,,,
2184,134000,13.99,Quito,Negociable,USED,Toyota,Hatchback (5 Puertas),Prius C Sport,,,,,,,,,,,,,,,,,,,,,,,
2185,1,30.99,Quito,Negociable,USED,Karry,Mini van (MPV),Acteco Dohc,,,,,,,,,,,,,,,,,,,,,,,
2186,1,11.6,Quito,Fijo,USED,Jetour,Crossover,X70 PLUS,,,,,,,,,,,,,,,,,,,,,,,
2187,107000,14.9,Cuenca,Negociable,USED,Chevrolet,Sedán,Aveo Emotion GLS,,,,,,,,,,,,,,,,,,,,,,,
2188,312,21.7,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,LUV D-MAX,,,,,,,,,,,,,,,,,,,,,,,
2189,53000,6.9,Cuenca,Negociable,USED,Hyundai,Todoterreno,Creta,,,,,,,,,,,,,,,,,,,,,,,
2190,221063,15.6,Quito,Negociable,USED,Honda,Sedán,Civic,,,,,,,,,,,,,,,,,,,,,,,
2191,63000,38.0,Ambato,Negociable,USED,Kia,Sedán,Cerato Forte,,,,,,,,,,,,,,,,,,,,,,,
2192,160200,14.9,Quito,Negociable,USED,Toyota,Todoterreno,New Fortuner,,,,,,,,,,,,,,,,,,,,,,,
2193,127000,28.5,Quito,Negociable,USED,Toyota,Todoterreno,RAV 4,,,,,,,,,,,,,,,,,,,,,,,
2194,11000,46.0,Guayaquil,Negociable,USED,Peugeot,Crossover,2008,,,,,,,,,,,,,,,,,,,,,,,
2195,37900,28.0,Quito,Negociable,USED,Mercedes Benz,Todoterreno,GLA 180,,,,,,,,,,,,,,,,,,,,,,,
2196,92000,19.9,Ibarra,Negociable,USED,Kia,Todoterreno,Sportage R GTI A\C 2.0 TM,,,,,,,,,,,,,,,,,,,,,,,
2197,74000,14.9,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,,,,,,,
2198,213000,20.0,Quito,Negociable,USED,Volkswagen,Sedán,New Jetta,,,,,,,,,,,,,,,,,,,,,,,
2199,44000,9.99,Ibarra,Negociable,USED,Kia,Hatchback (5 Puertas),RIO EX,,,,,,,,,,,,,,,,,,,,,,,
2200,237000,72.0,Ibarra,Negociable,USED,Ford,Todoterreno,Ecosport,,,,,,,,,,,,,,,,,,,,,,,
2201,6087,23.9,Quito,Negociable,USED,Mercedes Benz,Sedán,C200 AVANTGARDE II,,,,,,,,,,,,,,,,,,,,,,,
2202,61670,15.0,Guayaquil,Negociable,USED,Kia,Todoterreno,Sportage,,,,,,,,,,,,,,,,,,,,,,,
2203,137000,37.0,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,,,,,,,
2204,78000,,Samborondón,Negociable,USED,Chevrolet,Sedán,Aveo Emotion GLS,#1722010,107000 Kms,,,,,,,,,,,,,,,,,,,,,
2205,0,31.9,Quito,Negociable,USED,Nissan,Todoterreno,X-Trail Exclusive,,,,,,,,,,,,,,,,,,,,,,,
2206,227,12.9,Quito,Negociable,USED,Nissan,Todoterreno,Pathfinder,,,,,,,,,,,,,,,,,,,,,,,
2207,35873,22.9,Guayaquil,Negociable,USED,Renault,Crossover,captur,,,,,,,,,,,,,,,,,,,,,,,
2208,199,10.8,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Aveo Family,,,,,,,,,,,,,,,,,,,,,,,
2209,75,17.5,Quito,Negociable,USED,Chevrolet,Sedán,Cavalier,,,,,,,,,,,,,,,,,,,,,,,
2210,119,16.9,Quito,Negociable,USED,Suzuki,Hatchback (5 Puertas),GRAN VITARA SZ NEXT,,,,,,,,,,,,,,,,,,,,,,,
2211,240,12.9,Quito,Negociable,USED,Nissan,Sedán,Sentra Sport,,,,,,,,,,,,,,,,,,,,,,,
2212,301,12.9,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,LUV CD,,,,,,,,,,,,,,,,,,,,,,,
2213,82719,15.9,Quito,Negociable,USED,Zotye,Todoterreno,T600,,,,,,,,,,,,,,,,,,,,,,,
2214,131000,10.0,Ibarra,Negociable,USED,Renault,Hatchback (5 Puertas),Sandero Dynamic,,,,,,,,,,,,,,,,,,,,,,,
2215,112169,26.9,Quito,Negociable,USED,Volkswagen,Camioneta Doble Cabina,Amarok TDI,,,,,,,,,,,,,,,,,,,,,,,
2216,115000,15.9,Ibarra,Negociable,USED,Volkswagen,Sedán,New Jetta,,,,,,,,,,,,,,,,,,,,,,,
2217,74080,26.5,Guayaquil,Negociable,USED,Nissan,Todoterreno,X-Trail Sense,,,,,,,,,,,,,,,,,,,,,,,
2218,65000,17.5,Guayaquil,Negociable,USED,Suzuki,Todoterreno,Grand Vitara 5P,,,,,,,,,,,,,,,,,,,,,,,
2219,34293,187.9,Quito,Negociable,USED,Mercedes Benz,Todoterreno,GLE63S,,,,,,,,,,,,,,,,,,,,,,,
2220,28000,26.8,Ambato,Negociable,USED,JAC,Camioneta Doble Cabina,T8,,,,,,,,,,,,,,,,,,,,,,,
2221,55000,19.9,Ibarra,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,,,,,,,
2222,210000,6.8,Ibarra,Negociable,USED,Renault,Hatchback (5 Puertas),Clio,,,,,,,,,,,,,,,,,,,,,,,
2223,248806,22.9,Guayaquil,Negociable,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,,,,,,,,,,
2224,107140,26.9,Guayaquil,Negociable,USED,Nissan,Todoterreno,Qashqai,,,,,,,,,,,,,,,,,,,,,,,
2225,23036,18.9,Guayaquil,Negociable,USED,Kia,Crossover,Stonic,,,,,,,,,,,,,,,,,,,,,,,
2226,93500,25.9,Guayaquil,Negociable,USED,Nissan,Todoterreno,Qashqai,,,,,,,,,,,,,,,,,,,,,,,
2227,132000,14.8,Guayaquil,Negociable,USED,Kia,Sedán,Rio,,,,,,,,,,,,,,,,,,,,,,,
2228,121000,50.0,Ibarra,Negociable,USED,Cadillac,Todoterreno,Escalade Hibrido,,,,,,,,,,,,,,,,,,,,,,,
2229,27800,19.9,Quito,Fijo,USED,Chevrolet,Todoterreno,Tracker LS,,,,,,,,,,,,,,,,,,,,,,,
2230,27800,19.9,Quito,Fijo,USED,Chevrolet,Crossover,Tracker,,,,,,,,,,,,,,,,,,,,,,,
2231,369402,29.9,Quito,Fijo,USED,Ford,Sedán,Granada,,,,,,,,,,,,,,,,,,,,,,,
2232,130000,7.5,Quito,Financiado,USED,Mitsubishi,Todoterreno,Montero Blister,,,,,,,,,,,,,,,,,,,,,,,
2233,296000,37.9,Quito,Financiado,USED,Chevrolet,Sedán,Corsa Evolution,,,,,,,,,,,,,,,,,,,,,,,
2234,210000,10.9,Quito,Negociable,USED,Toyota,Todoterreno,FJ Cruiser,,,,,,,,,,,,,,,,,,,,,,,
2235,240254,46.0,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,,,,,,,
2236,19600,19.9,Quito,Negociable,USED,Mercedes Benz,Todoterreno,GLA 180,,,,,,,,,,,,,,,,,,,,,,,
2237,125224,10.7,Quito,Fijo,USED,Kia,Todoterreno,Sportage R,,,,,,,,,,,,,,,,,,,,,,,
2238,79869,16.7,Cuenca,Negociable,USED,Chevrolet,Sedán,Aveo Activo,,,,,,,,,,,,,,,,,,,,,,,
2239,124000,,Ambato,Fijo,USED,Renault,Hatchback (5 Puertas),Clio,#1715773,210000 Kms,,,,,,,,,,,,,,,,,,,,,
2240,28000,29.0,Nobol,Negociable,USED,Mazda,Todoterreno,CX-5,,,,,,,,,,,,,,,,,,,,,,,
2241,83000,19.5,Cuenca,Negociable,USED,JAC,Camioneta Doble Cabina,T6,,,,,,,,,,,,,,,,,,,,,,,
2242,174000,9.3,Cuenca,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark Life,,,,,,,,,,,,,,,,,,,,,,,
2243,138000,11.9,Quito,Negociable,USED,Mitsubishi,Todoterreno,Outlander,,,,,,,,,,,,,,,,,,,,,,,
2244,70385,28.9,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,,,,,,,
2245,74107,11.4,Quito,Negociable,USED,Great Wall,Sedán,Voleex C30,,,,,,,,,,,,,,,,,,,,,,,
2246,151180,16.4,Quito,Fijo,USED,Ford,Camioneta Cabina Simple,F150,,,,,,,,,,,,,,,,,,,,,,,
2247,107098,18.5,Quito,Negociable,USED,Volkswagen,Camioneta Doble Cabina,Amarok TDI,,,,,,,,,,,,,,,,,,,,,,,
2248,168000,10.2,Quito,Negociable,USED,Volkswagen,Sedán,Jetta,,,,,,,,,,,,,,,,,,,,,,,
2249,218000,10.3,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,LUV D-MAX,,,,,,,,,,,,,,,,,,,,,,,
2250,83970,17.5,Guayaquil,Negociable,USED,Nissan,Todoterreno,Kicks,,,,,,,,,,,,,,,,,,,,,,,
2251,170000,26.99,Quito,Negociable,USED,Volkswagen,Hatchback (5 Puertas),Gol Power,,,,,,,,,,,,,,,,,,,,,,,
2252,90000,8.9,Quito,Negociable,USED,Kia,Hatchback (5 Puertas),Picanto R,,,,,,,,,,,,,,,,,,,,,,,
2253,75,16.8,Quito,Negociable,USED,Chevrolet,Sedán,Cavalier,,,,,,,,,,,,,,,,,,,,,,,
2254,0,17.9,Quito,Financiado,USED,JAC,Camioneta Doble Cabina,T6,,,,,,,,,,,,,,,,,,,,,,,
2255,160000,14.9,Guayaquil,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara 3P Sport,,,,,,,,,,,,,,,,,,,,,,,
2256,92756,9.3,Quito,Negociable,USED,Fiat,Hatchback (5 Puertas),Uno Way,,,,,,,,,,,,,,,,,,,,,,,
2257,35879,15.3,Quito,Negociable,USED,Nissan,Sedán,Versa,,,,,,,,,,,,,,,,,,,,,,,
2258,109410,10.5,Quito,Negociable,USED,Kia,Hatchback (5 Puertas),Picanto R,,,,,,,,,,,,,,,,,,,,,,,
2259,150000,17.8,Quito,Negociable,USED,BMW,Sedán,328i,,,,,,,,,,,,,,,,,,,,,,,
2260,35000,12.3,Quito,Negociable,USED,Great Wall,Todoterreno,M4,,,,,,,,,,,,,,,,,,,,,,,
2261,35000,12.3,Quito,Negociable,USED,Great Wall,Todoterreno,M4,,,,,,,,,,,,,,,,,,,,,,,
2262,102000,14.5,Loja,Negociable,USED,Nissan,Sedán,Versa,,,,,,,,,,,,,,,,,,,,,,,
2263,280500,10.4,Cuenca,Negociable,USED,Mitsubishi,Todoterreno,Montero Sport,,,,,,,,,,,,,,,,,,,,,,,
2264,29808,16.8,Cuenca,Negociable,USED,Volkswagen,Sedán,Polo,,,,,,,,,,,,,,,,,,,,,,,
2265,180818,25.8,Cuenca,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-MAX CRDI 3.0 CD 4X4,,,,,,,,,,,,,,,,,,,,,,,
2266,33633,49.8,Guayaquil,Negociable,USED,BMW,Sedán,330i,,,,,,,,,,,,,,,,,,,,,,,
2267,158000,14.8,Quito,Negociable,USED,Mercedes Benz,Sedán,E320,,,,,,,,,,,,,,,,,,,,,,,
2268,122001,13.3,Cuenca,Negociable,USED,Kia,Hatchback (5 Puertas),PICANTO LX,,,,,,,,,,,,,,,,,,,,,,,
2269,218000,6.8,Cuenca,Negociable,USED,Ford,Camioneta Cabina Simple,Ranger CS,,,,,,,,,,,,,,,,,,,,,,,
2270,422674,8.8,Cuenca,Fijo,USED,Toyota,Camioneta Cabina Simple,Stout,,,,,,,,,,,,,,,,,,,,,,,
2271,631,118.0,Guayaquil,Negociable,USED,Jeep,Todoterreno,Wrangler Rubicon,,,,,,,,,,,,,,,,,,,,,,,
2272,1,54.8,Cuenca,Negociable,USED,Ford,Camioneta Cabina Simple,F150 Lariat,,,,,,,,,,,,,,,,,,,,,,,
2273,1,54.8,Cuenca,Negociable,USED,Ford,Camioneta Doble Cabina,F150 DC 4X4,,,,,,,,,,,,,,,,,,,,,,,
2274,1,54.8,Cuenca,Negociable,USED,Ford,Camioneta Cabina Simple,F150 4X4,,,,,,,,,,,,,,,,,,,,,,,
2275,1,54.8,Cuenca,Negociable,USED,Ford,Camioneta Cabina Simple,F150 FX4,,,,,,,,,,,,,,,,,,,,,,,
2276,171,8.9,Quito,Negociable,USED,Zxauto,Todoterreno,Landmark,,,,,,,,,,,,,,,,,,,,,,,
2277,164668,24.0,Cuenca,Negociable,USED,Hyundai,Todoterreno,Santa Fe,,,,,,,,,,,,,,,,,,,,,,,
2278,59000,25.5,Quito,Negociable,USED,Volkswagen,Camioneta Doble Cabina,Amarok TSI,,,,,,,,,,,,,,,,,,,,,,,
2279,121000,25.5,Quito,Negociable,USED,Nissan,Sedán,Versa,#1721200,102000 Kms,Eléctricos,Manual,Gasolina,Aire Acondicionado,4 x 2,Plata,2.0,Hidráulica,1600.0,Tela,Azuay,,,,,,,,,,
2280,42759,26.8,Cuenca,Negociable,USED,Great Wall,Todoterreno,HAVAL H6 SUPREME,,,,,,,,,,,,,,,,,,,,,,,
2281,58000,43.8,Guayaquil,Negociable,USED,Chevrolet,Todoterreno,TrailBlazer DSL LTZ TA 2.8,,,,,,,,,,,,,,,,,,,,,,,
2282,41356,19.2,Cuenca,Negociable,USED,Great Wall,Todoterreno,H6,,,,,,,,,,,,,,,,,,,,,,,
2283,109158,12.3,Cuenca,Negociable,USED,Chevrolet,Sedán,Aveo Emotion GLS,,,,,,,,,,,,,,,,,,,,,,,
2284,102814,27.9,Quito,Negociable,USED,Nissan,Todoterreno,Armada,,,,,,,,,,,,,,,,,,,,,,,
2285,100000,21.5,Quito,Negociable,USED,Chevrolet,Todoterreno,Tahoe,,,,,,,,,,,,,,,,,,,,,,,
2286,122469,24.2,Cuenca,Negociable,USED,Hyundai,Todoterreno,TUCSON TL,,,,,,,,,,,,,,,,,,,,,,,
2287,203329,15.8,Cuenca,Negociable,USED,Chevrolet,Camioneta Doble Cabina,LUV Dmax CD V6,,,,,,,,,,,,,,,,,,,,,,,
2288,114000,10.9,Cuenca,Negociable,USED,Faw,Mini van (MPV),Actis V80 Full,,,,,,,,,,,,,,,,,,,,,,,
2289,114000,10.9,Cuenca,Negociable,USED,Chevrolet,Van Pasajeros,N300,,,,,,,,,,,,,,,,,,,,,,,
2290,114000,10.9,Cuenca,Negociable,USED,Faw,Mini van (MPV),Actis V-80,,,,,,,,,,,,,,,,,,,,,,,
2291,114000,10.9,Cuenca,Negociable,USED,DFSK,Mini van (MPV),ACTIS V80,,,,,,,,,,,,,,,,,,,,,,,
2292,30000,63.558,Loja,Negociable,USED,Ford,Camioneta Doble Cabina,F150 Lariat,,,,,,,,,,,,,,,,,,,,,,,
2293,383103,7.5,Cuenca,Fijo,USED,Chevrolet,Todoterreno,Vitara 5P,,,,,,,,,,,,,,,,,,,,,,,
2294,379,6.8,Quito,Negociable,USED,Ford,Hatchback (5 Puertas),Fiesta Power,,,,,,,,,,,,,,,,,,,,,,,
2295,75000,39.5,Quito,Negociable,USED,Jeep,Todoterreno,Grand Cherokee,,,,,,,,,,,,,,,,,,,,,,,
2296,280000,10.0,Cuenca,Negociable,USED,Ford,Camioneta Cabina Simple,Ranger CS,,,,,,,,,,,,,,,,,,,,,,,
2297,275,6.9,Quito,Negociable,USED,Chevrolet,Sedán,Corsa,,,,,,,,,,,,,,,,,,,,,,,
2298,148000,12.3,Quito,Negociable,USED,Volkswagen,Hatchback (5 Puertas),Gol Plus,,,,,,,,,,,,,,,,,,,,,,,
2299,150000,7.8,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark,,,,,,,,,,,,,,,,,,,,,,,
2300,65000,12.8,Loja,Negociable,USED,Kia,Hatchback (5 Puertas),PICANTO LX,,,,,,,,,,,,,,,,,,,,,,,
2301,20000,42.0,Quito,Negociable,USED,Audi,Sedán,A4 2.0T,,,,,,,,,,,,,,,,,,,,,,,
2302,150000,25.9,Quito,Negociable,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,,,,,,,,,,
2303,371000,4.3,Quito,Negociable,USED,Daewoo,Sedán,Cielo,,,,,,,,,,,,,,,,,,,,,,,
2304,100280,16.2,Cuenca,Negociable,USED,Mazda,Hatchback (5 Puertas),NUEVO MAZDA 2 SDN CORE,,,,,,,,,,,,,,,,,,,,,,,
2305,68500,26.3,Cuenca,Negociable,USED,Kia,Todoterreno,SPORTAGE GT LINE AT,,,,,,,,,,,,,,,,,,,,,,,
2306,316572,9.2,Cuenca,Negociable,USED,Chevrolet,Camioneta Doble Cabina,LUV V6 CD,,,,,,,,,,,,,,,,,,,,,,,
2307,36000,44.9,Quito,Negociable,USED,Mercedes Benz,Todoterreno,GLA 180,,,,,,,,,,,,,,,,,,,,,,,
2308,143000,14.9,Quito,Negociable,USED,Ford,Todoterreno,Escape,,,,,,,,,,,,,,,,,,,,,,,
2309,143000,14.9,Quito,Negociable,USED,Ford,Todoterreno,Escape S Plus,,,,,,,,,,,,,,,,,,,,,,,
2310,183000,8.5,Quito,Negociable,USED,Mercedes Benz,Sedán,E230,,,,,,,,,,,,,,,,,,,,,,,
2311,61200,23.9,Ambato,Negociable,USED,Kia,Todoterreno,Sportage R,,,,,,,,,,,,,,,,,,,,,,,
2312,200000,9.8,Guayaquil,Negociable,USED,Jeep,Todoterreno,Cherokee Laredo,,,,,,,,,,,,,,,,,,,,,,,
2313,226110,10.2,Cuenca,Negociable,USED,Hyundai,Todoterreno,Tucson,,,,,,,,,,,,,,,,,,,,,,,
2314,68000,20.8,Guayaquil,Negociable,USED,Chevrolet,Sedán,Corsa,#1718359,275 Kms,,,,,,Plomo,4.0,,1800.0,,Guayas,,,,,,,,,,
2315,20,27.8,Quito,Negociable,USED,Kia,Sedán,Optima,,,,,,,,,,,,,,,,,,,,,,,
2316,256,6.5,Quito,Negociable,USED,Hyundai,Todoterreno,Santa Fe,,,,,,,,,,,,,,,,,,,,,,,
2317,102000,25.8,Guayaquil,Negociable,USED,Ford,Camioneta Doble Cabina,F150 XLT CD,,,,,,,,,,,,,,,,,,,,,,,
2318,0,27.99,Cuenca,Negociable,NEW,JMC,Camioneta Doble Cabina,VIGUS PLUS,,,,,,,,,,,,,,,,,,,,,,,
2319,66857,34.0,Guayaquil,Negociable,USED,Toyota,Todoterreno,RAV 4,,,,,,,,,,,,,,,,,,,,,,,
2320,1,31.99,Cuenca,Negociable,USED,JAC,Camioneta Doble Cabina,T8,,,,,,,,,,,,,,,,,,,,,,,
2321,366000,4.9,Quito,Fijo,USED,Peugeot,Hatchback (3 Puertas),Berlina 206 XR,,,,,,,,,,,,,,,,,,,,,,,
2322,120000,12.7,Quito,Financiado,USED,Chevrolet,Sedán,Aveo Family,,,,,,,,,,,,,,,,,,,,,,,
2323,73000,14.85,Quito,Financiado,USED,Chevrolet,Sedán,Sail,,,,,,,,,,,,,,,,,,,,,,,
2324,151000,11.9,Quito,Financiado,USED,Peugeot,Hatchback (5 Puertas),206,,,,,,,,,,,,,,,,,,,,,,,
2325,146230,25.9,Cuenca,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-MAX CRDI FULL AC 3.0 CD 4X4 TM DIESEL,,,,,,,,,,,,,,,,,,,,,,,
2326,113,10.9,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Aveo Family,,,,,,,,,,,,,,,,,,,,,,,
