,Año,Kilómetraje,Precio,Lugar,Negociacion,Categoría,Marca,Subtipo,Modelo,Publicación,Recorrido,Vidrios,Transmisión,Combustible,Sistema de climatización,Tracción,Color,Último número de la placa,Motor(cilindraje),Placa,Tapizado,Dirección,Entrada desde,Cuotas desde,Número de cuotas,Tipo de Motor
714,2006,209000,15.9,Cuenca,Negociable,USED,Ford,Todoterreno,Expedition Eddie Bauer,,,,,,,,,,,,,,,,,
715,2014,245000,17.0,Cuenca,Negociable,USED,Kia,Van,Carnival,,,,,,,,,,,,,,,,,
716,1998,146000,8.3,Quito,Negociable,USED,Toyota,Sedán,Tercel,,,,,,,,,,,,,,,,,
717,2017,77000,18.7,Atuntaqui,Negociable,USED,Hyundai,Todoterreno,Creta,,,,,,,,,,,,,,,,,
718,2020,78000,32.8,Atuntaqui,Negociable,USED,Ford,Camioneta Doble Cabina,RANGER XL,,,,,,,,,,,,,,,,,
719,2020,93000,15.9,Quito,Fijo,USED,Nissan,Todoterreno,X-Trail Xtreme,#1721037,170000 Kms,,,,,,,,,,,,,,,
720,2015,150000,13.9,Quito,Negociable,USED,Nissan,Sedán,Sentra Advance MT,,,,,,,,,,,,,,,,,
721,2014,109000,14.9,Quito,Fijo,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
722,2013,120000,13.9,Quito,Fijo,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
723,2019,64000,13.4,Cuenca,Negociable,USED,Kia,Hatchback (5 Puertas),PICANTO LX,,,,,,,,,,,,,,,,,
724,2014,96859,15.0,Quito,Negociable,USED,Volkswagen,Sedán,Jetta,,,,,,,,,,,,,,,,,
725,2021,40000,10.9,Quito,Negociable,USED,Chevrolet,Sedán,ONIX,,,,,,,,,,,,,,,,,
726,2009,248000,48.0,Quito,Negociable,USED,Kia,Mini van (MPV),Carens,,,,,,,,,,,,,,,,,
727,2018,92000,10.9,Guayaquil,Negociable,USED,Jeep,Todoterreno,Grand Cherokee Laredo,,,,,,,,,,,,,,,,,
728,2009,248000,10.9,Quito,Negociable,USED,Kia,Mini van (MPV),Carens Rondo,,,,,,,,,,,,,,,,,
729,2009,248000,18.5,Quito,Negociable,USED,Kia,Mini van (MPV),Rondo,,,,,,,,,,,,,,,,,
730,2020,28000,58.9,Guayaquil,Negociable,USED,Toyota,Hatchback (5 Puertas),Prius C Sport,,,,,,,,,,,,,,,,,
731,2016,99800,26.4,Quito,Negociable,USED,Ford,Camioneta Doble Cabina,F150 Lariat,,,,,,,,,,,,,,,,,
732,2018,80700,30.0,Quito,Negociable,USED,Kia,Todoterreno,Sportage GT,,,,,,,,,,,,,,,,,
733,2018,106000,11.9,Guayaquil,Negociable,USED,Skoda,Todoterreno,kodiaq,,,,,,,,,,,,,,,,,
734,2019,54000,8.5,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
735,2006,230346,13.5,Quito,Negociable,USED,Chevrolet,Todoterreno,Trailblazer,,,,,,,,,,,,,,,,,
736,2004,197205,23.9,Quito,Negociable,USED,Chevrolet,Sedán,Astra,,,,,,,,,,,,,,,,,
737,2000,309933,13.9,Quito,Negociable,USED,Nissan,Todoterreno,Pathfinder,,,,,,,,,,,,,,,,,
738,2020,55000,11.9,Quito,Negociable,USED,Kia,Todoterreno,SPORTAGE SL,,,,,,,,,,,,,,,,,
739,2019,71000,12.9,Quito,Negociable,USED,Kia,Sedán,Rio R,,,,,,,,,,,,,,,,,
740,2010,204000,49.9,Quito,Negociable,USED,Toyota,Sedán,Prius Hybrido,,,,,,,,,,,,,,,,,
741,2014,160000,13.9,Quito,Fijo,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,
742,2019,60000,11.9,Quito,Negociable,USED,Ford,Camioneta Doble Cabina,F150,,,,,,,,,,,,,,,,,
743,2011,180000,23.9,Quito,Negociable,USED,Hyundai,Todoterreno,Tucson IX,,,,,,,,,,,,,,,,,
744,2019,69000,15.3,Quito,Fijo,USED,Brilliance,Crossover,V3,,,,,,,,,,,,,,,,,
745,2021,16570,41.9,Quito,Negociable,USED,Toyota,Todoterreno,Rush,,,,,,,,,,,,,,,,,
746,2019,45000,15.9,Cuenca,Negociable,USED,Kia,Hatchback (5 Puertas),picanto pro,,,,,,,,,,,,,,,,,
747,2018,71000,24.9,Quito,Negociable,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,,,,
748,2008,160460,17.4,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,LUV D-MAX,,,,,,,,,,,,,,,,,
749,2018,110000,27.99,Guayaquil,Negociable,USED,Chevrolet,Todoterreno,Equinox,,,,,,,,,,,,,,,,,
750,2018,122295,16.9,Quito,Negociable,USED,Great Wall,Camioneta Doble Cabina,WINGLE,,,,,,,,,,,,,,,,,
751,2023,0,11.9,Quito,Negociable,NEW,JMC,Camioneta Doble Cabina,VIGUS PLUS,,,,,,,,,,,,,,,,,
752,2016,93357,59.9,Quito,Financiado,USED,Volkswagen,Sedán,Jetta,,,,,,,,,,,,,,,,,
753,2015,103000,,Quito,Financiado,USED,Nissan,Sedán,Tiida,,,,,,,,,,,,,,,,,
754,2017,48000,,Quito,Financiado,USED,Nissan,Todoterreno,Pathfinder,#1714010,309933 Kms,Eléctricos,Manual,Gasolina,Aire Acondicionado,4 x 4,Crema,1.0,3000.0,Pichincha,,,,,,
755,2013,150000,21.9,Quito,Negociable,USED,Toyota,Todoterreno,RAV 4,,,,,,,,,,,,,,,,,
756,2008,126000,11.9,Quito,Negociable,USED,Mazda,Todoterreno,CX-9,,,,,,,,,,,,,,,,,
757,2009,143183,39.9,Quito,Negociable,USED,Mercedes Benz,Sedán,C300,,,,,,,,,,,,,,,,,
758,2010,139000,16.9,Quito,Negociable,USED,Peugeot,Sedán,407,,,,,,,,,,,,,,,,,
759,2010,68000,29.9,Quito,Negociable,USED,BMW,Todoterreno,X6 Hibrido,,,,,,,,,,,,,,,,,
760,2011,237473,115.0,Quito,Fijo,USED,Renault,Sedán,Logan,,,,,,,,,,,,,,,,,
761,2007,322000,26.8,Quito,Negociable,USED,Toyota,Todoterreno,Land Cruiser Prado GX,,,,,,,,,,,,,,,,,
762,2014,129560,13.9,Quito,Negociable,USED,Mazda,Todoterreno,CX-9 TOP GRADE,,,,,,,,,,,,,,,,,
763,2023,0,22.9,Guayaquil,Negociable,NEW,Chevrolet,Camioneta Doble Cabina,Silverado Trailboss Z71 AC,,,,,,,,,,,,,,,,,
764,2013,162000,26.9,Quito,Negociable,USED,Toyota,Camioneta Doble Cabina,Hilux SR AC CD,,,,,,,,,,,,,,,,,
765,2002,197800,12.9,Quito,Negociable,USED,BMW,Todoterreno,X5 3.0i,,,,,,,,,,,,,,,,,
766,2013,201000,12.7,Quito,Negociable,USED,Audi,Todoterreno,Q5,,,,,,,,,,,,,,,,,
767,2017,174000,14.9,Quito,Negociable,USED,Volkswagen,Camioneta Doble Cabina,Amarok TDI,,,,,,,,,,,,,,,,,
768,2020,22170,22.0,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
769,2019,45000,13.0,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
770,2009,224016,12.99,Quito,Negociable,USED,Hyundai,Todoterreno,Santa Fe,,,,,,,,,,,,,,,,,
771,2012,90000,14.5,Quito,Negociable,USED,BMW,Sedán,320i,,,,,,,,,,,,,,,,,
772,2002,326500,12.5,Quito,Fijo,USED,Audi,Sedán,A4,,,,,,,,,,,,,,,,,
773,2008,251000,45.8,Guayaquil,Negociable,USED,Hyundai,Todoterreno,Veracruz Diesel,,,,,,,,,,,,,,,,,
774,2020,40000,12.4,Quito,Negociable,USED,Kia,Hatchback (5 Puertas),Picanto R,,,,,,,,,,,,,,,,,
775,2019,53933,15.0,Quito,Negociable,USED,Chevrolet,Sedán,Sail,,,,,,,,,,,,,,,,,
776,2001,504644,12.6,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),NKR,,,,,,,,,,,,,,,,,
777,2017,98505,8.4,Quito,Fijo,USED,Chevrolet,Sedán,Sail,,,,,,,,,,,,,,,,,
778,2002,218000,14.9,Quito,Fijo,USED,Volkswagen,Sedán,Passat,,,,,,,,,,,,,,,,,
779,2019,41000,8.9,Cuenca,Negociable,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,,,,
780,2009,136812,23.99,Quito,Negociable,USED,Peugeot,Hatchback (5 Puertas),308,,,,,,,,,,,,,,,,,
781,2001,175503,16.9,Quito,Negociable,USED,Mercedes Benz,Sedán,C240,,,,,,,,,,,,,,,,,
782,2007,217000,8.9,Quito,Negociable,USED,BMW,Todoterreno,X3 2.5SI,,,,,,,,,,,,,,,,,
783,2019,28914,,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
784,1997,398000,,Quito,Negociable,USED,Chevrolet,Todoterreno,Rodeo,,,,,,,,,,,,,,,,,
785,2013,146000,,Quito,Negociable,USED,Hyundai,Sedán,i30,,,,,,,,,,,,,,,,,
786,2002,318000,,Quito,Negociable,USED,Hyundai,Coupé,COUPE,,,,,,,,,,,,,,,,,
787,2018,100000,,Quito,Fijo,USED,Nissan,Todoterreno,Qashqai exclusive,,,,,,,,,,,,,,,,,
788,2023,16000,,Quito,Negociable,USED,Renault,Hatchback (5 Puertas),Sandero,,,,,,,,,,,,,,,,,
789,2006,200000,,Quito,Negociable,USED,Audi,Sedán,A4,#1710318,326500 Kms,,Manual,Gasolina,,,Plata,7.0,1800.0,Guayas,,,,,,
790,2015,165000,29.99,Quito,Negociable,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,,,,
791,2013,120000,12.9,Quito,Negociable,USED,Hyundai,Sedán,Accent,,,,,,,,,,,,,,,,,
792,2014,160000,13.9,Quito,Fijo,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,
793,2011,169000,14.99,Quito,Fijo,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
794,2004,235671,14.9,Quito,Negociable,USED,Mercedes Benz,Hatchback (5 Puertas),ML 350,,,,,,,,,,,,,,,,,
795,2018,115000,16.5,Quito,Negociable,USED,Renault,Todoterreno,Duster 2.0,,,,,,,,,,,,,,,,,
796,2017,74000,24.9,Quito,Negociable,USED,Mazda,Sedán,6,,,,,,,,,,,,,,,,,
797,2020,55523,33.9,Quito,Negociable,USED,Peugeot,Todoterreno,3008,,,,,,,,,,,,,,,,,
798,2015,79884,27.9,Quito,Negociable,USED,Audi,Sedán,A3,,,,,,,,,,,,,,,,,
799,2020,30000,20.5,Quito,Negociable,USED,Kia,Sedán,Cerato R,,,,,,,,,,,,,,,,,
800,2013,117000,8.5,Loja,Negociable,USED,Chevrolet,Sedán,Aveo Family,,,,,,,,,,,,,,,,,
801,2005,302000,17.9,Quito,Negociable,USED,Toyota,Todoterreno,4 Runner SR5,,,,,,,,,,,,,,,,,
802,2010,209000,25.5,Quito,Fijo,USED,Nissan,Todoterreno,Qashqai,,,,,,,,,,,,,,,,,
803,2020,85000,27.99,Quito,Negociable,USED,Nissan,Camioneta Doble Cabina,Frontier,,,,,,,,,,,,,,,,,
804,2019,90000,15.99,Quito,Negociable,USED,Foton,Van de Carga,Gratour V55,,,,,,,,,,,,,,,,,
805,2011,184531,13.0,Quito,Negociable,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,,,,
806,2023,20000,11.9,Quito,Fijo,USED,Great Wall,Camioneta Doble Cabina,POER,,,,,,,,,,,,,,,,,
807,2019,50000,9.9,Quito,Fijo,USED,Soueast,Todoterreno,DX3,,,,,,,,,,,,,,,,,
808,2011,230000,49.99,Quito,Negociable,USED,Kia,Todoterreno,Sportage,,,,,,,,,,,,,,,,,
809,2009,198000,6.99,Quito,Negociable,USED,Nissan,Todoterreno,X-Trail Classic,,,,,,,,,,,,,,,,,
810,1997,184700,8.9,Quito,Negociable,USED,BMW,Sedán,328i,,,,,,,,,,,,,,,,,
811,2011,182300,15.8,Quito,Fijo,USED,Renault,Hatchback (5 Puertas),Sandero Dynamic,,,,,,,,,,,,,,,,,
812,2019,60000,18.99,Quito,Negociable,USED,Ford,Camioneta Doble Cabina,F150,,,,,,,,,,,,,,,,,
813,2006,273000,17.2,Quito,Fijo,USED,Chevrolet,Sedán,Corsa,,,,,,,,,,,,,,,,,
814,1998,280000,26.9,Quito,Negociable,USED,Mitsubishi,Sedán,Galant,,,,,,,,,,,,,,,,,
815,2017,90000,19.9,Guayaquil,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ 2.4,,,,,,,,,,,,,,,,,
816,2017,70000,17.99,Quito,Negociable,USED,Volkswagen,Sedán,Jetta,,,,,,,,,,,,,,,,,
817,2017,80000,,Quito,Negociable,USED,Chevrolet,Todoterreno,GRAND VITARA SZ NEXT 2.4 4X2,,,,,,,,,,,,,,,,,
818,2013,55900,,Quito,Fijo,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,,,,
819,2008,204632,,Quito,Fijo,USED,Hyundai,Todoterreno,Santa Fe,,,,,,,,,,,,,,,,,
820,2019,28173,,Quito,Fijo,USED,Ssangyong,Camioneta Doble Cabina,Korando Sport,,,,,,,,,,,,,,,,,
821,2013,200000,,Quito,Negociable,USED,Ford,Camioneta Doble Cabina,F150 FX4,,,,,,,,,,,,,,,,,
822,2016,105000,,Quito,Fijo,USED,Nissan,Todoterreno,Qashqai,,,,,,,,,,,,,,,,,
823,2022,9000,,Quito,Fijo,USED,Chevrolet,Sedán,ONIX,,,,,,,,,,,,,,,,,
824,2005,154000,,Quito,Fijo,USED,Soueast,Todoterreno,DX3,#1719605,50000 Kms,,,,,,,,,,,,,,,
825,2022,58000,15.9,Quito,Fijo,USED,Renault,Hatchback (5 Puertas),Sandero Stepway,,,,,,,,,,,,,,,,,
826,2011,155000,10.99,Quito,Fijo,USED,Mazda,Camioneta Cabina Simple,BT-50,,,,,,,,,,,,,,,,,
827,2021,22000,25.5,Ambato,Negociable,USED,JAC,Camioneta Doble Cabina,T8,,,,,,,,,,,,,,,,,
828,2021,55000,18.5,Ambato,Negociable,USED,Kia,Sedán,RIO EX,,,,,,,,,,,,,,,,,
829,2017,196000,18.0,Ambato,Negociable,USED,Mazda,Camioneta Doble Cabina,BT-50 CD ACTION 2.6,,,,,,,,,,,,,,,,,
830,2018,203000,15.5,Ambato,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
831,2020,20000,13.9,Quito,Fijo,USED,Kia,Hatchback (5 Puertas),Picanto R,,,,,,,,,,,,,,,,,
832,1997,250000,4.9,Quito,Fijo,USED,Ford,Todoterreno,Explorer 3P,,,,,,,,,,,,,,,,,
833,2019,80000,13.9,Quito,Fijo,USED,Haval,Todoterreno,M4,,,,,,,,,,,,,,,,,
834,2017,94000,69.0,Quito,Negociable,USED,Mercedes Benz,Utilitario,GLC 250 COUPE,,,,,,,,,,,,,,,,,
835,2014,122000,14.9,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
836,2004,250000,8.5,Quito,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara XL7,,,,,,,,,,,,,,,,,
837,2021,17043,37.9,Quito,Negociable,USED,Volkswagen,Todoterreno,Tiguan,,,,,,,,,,,,,,,,,
838,2011,210578,21.9,Quito,Negociable,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,,,,
839,2013,240000,21.3,Ambato,Negociable,USED,Toyota,Camioneta Doble Cabina,Hilux CD 4x2,,,,,,,,,,,,,,,,,
840,2014,113000,22.8,Ambato,Negociable,USED,Toyota,Camioneta Doble Cabina,Hilux CD 4x2,,,,,,,,,,,,,,,,,
841,2013,119000,20.5,Quito,Negociable,USED,Ford,Todoterreno,Edge,,,,,,,,,,,,,,,,,
842,2015,200000,11.9,Quito,Negociable,USED,Chevrolet,Van Pasajeros,N300,,,,,,,,,,,,,,,,,
843,2020,50000,12.9,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
844,2020,63000,21.99,Quito,Fijo,USED,JAC,Camioneta Doble Cabina,T6,,,,,,,,,,,,,,,,,
845,2007,114000,20.9,Quito,Negociable,USED,Mercedes Benz,Sedán,C200,,,,,,,,,,,,,,,,,
846,2019,42483,12.4,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
847,2020,60000,54.9,Quito,Negociable,USED,Toyota,Todoterreno,Fortuner 4.0,,,,,,,,,,,,,,,,,
848,2012,132000,18.9,Quito,Negociable,USED,Ford,Todoterreno,Edge,,,,,,,,,,,,,,,,,
849,2010,260000,7.99,Quito,Fijo,USED,Skoda,Sedán,Octavia,,,,,,,,,,,,,,,,,
850,2020,49000,16.99,Quito,Fijo,USED,Kia,Hatchback (5 Puertas),Rio,,,,,,,,,,,,,,,,,
851,2013,140000,13.9,Quito,Negociable,USED,Ford,Todoterreno,Escape,,,,,,,,,,,,,,,,,
852,2006,230000,9.3,Quito,Negociable,USED,Volkswagen,Sedán,Bora,,,,,,,,,,,,,,,,,
853,2015,117000,12.9,Quito,Negociable,USED,Fiat,Mini van (MPV),Fiorino,,,,,,,,,,,,,,,,,
854,2013,132000,20.9,Quito,Fijo,USED,Toyota,Camioneta Doble Cabina,Hilux,,,,,,,,,,,,,,,,,
855,2018,100000,28.9,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-MAX,,,,,,,,,,,,,,,,,
856,2001,220000,12.9,Quito,Negociable,USED,Toyota,Todoterreno,Sequoia,,,,,,,,,,,,,,,,,
857,2023,23000,25.5,Portoviejo,Negociable,USED,Zxauto,Camioneta Doble Cabina,Terralord,,,,,,,,,,,,,,,,,
858,2016,68600,98.0,Quito,Negociable,USED,Mercedes Benz,Coupé,GLE 400 COUPE,,,,,,,,,,,,,,,,,
859,2018,130000,12.9,Quito,Fijo,USED,Chevrolet,Van Pasajeros,N300,#1723456,200000 Kms,Eléctricos,Manual,Gasolina,Aire Acondicionado,,Gris,8.0,1200.0,Pichincha,Tela,Hidráulica,,,,
860,2015,100000,16.99,Quito,Negociable,USED,Kia,Sedán,Optima,,,,,,,,,,,,,,,,,
861,2018,130000,12.9,Quito,Fijo,USED,Citroen,Sedán,C-ELYSEE,,,,,,,,,,,,,,,,,
862,2022,50000,19.9,Quito,Negociable,USED,Chery,Todoterreno,Tiggo 8 pro,,,,,,,,,,,,,,,,,
863,2002,330000,5.99,Quito,Fijo,USED,Volkswagen,Hatchback (5 Puertas),Gol Confortline 1.8,,,,,,,,,,,,,,,,,
864,2019,90000,10.9,Quito,Fijo,USED,Chevrolet,Sedán,Aveo Family,,,,,,,,,,,,,,,,,
865,2012,160000,10.9,Quito,Fijo,USED,Great Wall,Todoterreno,H5,,,,,,,,,,,,,,,,,
866,2011,138000,12.7,Quito,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara 3P Sport,,,,,,,,,,,,,,,,,
867,2019,140000,10.9,Quito,Negociable,USED,Chevrolet,Sedán,Beat,,,,,,,,,,,,,,,,,
868,2013,180000,8.9,Quito,Negociable,USED,Chevrolet,Sedán,Sail,,,,,,,,,,,,,,,,,
869,2011,220000,8.99,Quito,Fijo,USED,Great Wall,Todoterreno,Hover H3 Full,,,,,,,,,,,,,,,,,
870,2020,26000,68.9,Quito,Negociable,USED,Mercedes Benz,Todoterreno,GLC 200,,,,,,,,,,,,,,,,,
871,2012,23500,23.5,Atuntaqui,Negociable,USED,Volkswagen,Van,Transporter,,,,,,,,,,,,,,,,,
872,2018,73000,12.8,Atuntaqui,Negociable,USED,Chevrolet,Hatchback (5 Puertas),SAIL LTZ,,,,,,,,,,,,,,,,,
873,2017,96000,39.9,Atuntaqui,Negociable,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,,,,
874,2017,72000,11.2,Atuntaqui,Negociable,USED,Chevrolet,Hatchback (5 Puertas),SAIL LTZ,,,,,,,,,,,,,,,,,
875,2019,85000,28.8,Atuntaqui,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-MAX CRDI FULL AC 3.0 CD 4X4 TM DIESEL,,,,,,,,,,,,,,,,,
876,2010,248000,5.9,Quito,Fijo,USED,Kia,Sedán,Rio Stylus,,,,,,,,,,,,,,,,,
877,2017,100000,31.9,Quito,Negociable,USED,Ford,Todoterreno,Edge,,,,,,,,,,,,,,,,,
878,2008,280000,9.9,Quito,Fijo,USED,Chevrolet,Camioneta Cabina Simple,D-MAX,,,,,,,,,,,,,,,,,
879,2013,150000,12.9,Quito,Fijo,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
880,2012,240000,7.9,Quito,Fijo,USED,Chevrolet,Sedán,Aveo Family,,,,,,,,,,,,,,,,,
881,2014,100000,11.3,Quito,Negociable,USED,Skoda,Hatchback (5 Puertas),Fabia,,,,,,,,,,,,,,,,,
882,2014,109633,32.5,Quito,Negociable,USED,Jeep,Todoterreno,Grand Cherokee Laredo,,,,,,,,,,,,,,,,,
883,2021,51000,17.5,Quito,Negociable,USED,Chevrolet,Sedán,ONIX,,,,,,,,,,,,,,,,,
884,1992,232000,4.2,Quito,Negociable,USED,Fiat,Sedán,Premio,,,,,,,,,,,,,,,,,
885,2006,160000,8.9,Quito,Negociable,USED,Mazda,Sedán,3,,,,,,,,,,,,,,,,,
886,2019,100000,26.9,Quito,Fijo,USED,Hyundai,Todoterreno,TUCSON TL,,,,,,,,,,,,,,,,,
887,2014,220000,13.9,Quito,Negociable,USED,Mazda,Camioneta Doble Cabina,BT-50,,,,,,,,,,,,,,,,,
888,2019,80000,28.9,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-MAX,,,,,,,,,,,,,,,,,
889,2019,56000,18.9,Quito,Fijo,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
890,2014,80000,17.0,Quito,Negociable,USED,Volkswagen,Sedán,Passat,,,,,,,,,,,,,,,,,
891,2019,98000,26.5,Guayaquil,Negociable,USED,Mitsubishi,Camioneta Doble Cabina,L200,,,,,,,,,,,,,,,,,
892,2003,150000,10.9,Quito,Negociable,USED,Mercedes Benz,Sedán,C200 K,,,,,,,,,,,,,,,,,
893,2016,80000,64.9,Quito,Negociable,USED,Toyota,Todoterreno,Land Cruiser Prado VX,,,,,,,,,,,,,,,,,
894,2019,60000,45.9,Quito,Negociable,USED,Ford,Todoterreno,Edge,#1715642,100000 Kms,,,,,,,,,,,,,,,
895,2018,50000,39.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Trailblazer,,,,,,,,,,,,,,,,,
896,2019,93500,18.7,Quito,Negociable,USED,Great Wall,Todoterreno,H5 TURBO 4X4 AC,,,,,,,,,,,,,,,,,
897,2006,220000,6.6,Cuenca,Negociable,USED,Chevrolet,Sedán,Optra,,,,,,,,,,,,,,,,,
898,2015,111811,59.9,Quito,Negociable,USED,Toyota,Todoterreno,4 Runner Limited,,,,,,,,,,,,,,,,,
899,2012,134541,39.9,Quito,Negociable,USED,BMW,Todoterreno,X5 xDrive35i,,,,,,,,,,,,,,,,,
900,2020,50000,18.4,Quito,Negociable,USED,Great Wall,Todoterreno,Haval H6,,,,,,,,,,,,,,,,,
901,2014,120000,19.9,Quito,Fijo,USED,Ford,Todoterreno,Edge Limited,,,,,,,,,,,,,,,,,
902,2017,60000,18.99,Quito,Fijo,USED,Hyundai,Todoterreno,Creta,,,,,,,,,,,,,,,,,
903,2004,300000,7.9,Quito,Fijo,USED,Volkswagen,Hatchback (5 Puertas),Golf,,,,,,,,,,,,,,,,,
904,1998,500000,8.5,Guayaquil,Negociable,USED,Chevrolet,Todoterreno,Rodeo,,,,,,,,,,,,,,,,,
905,2019,65000,39.8,Ambato,Negociable,USED,Toyota,Camioneta Doble Cabina,NEW HILUX 2.4 CD 4X4,,,,,,,,,,,,,,,,,
906,2015,100000,13.99,Quito,Fijo,USED,Hyundai,Sedán,Sonata,,,,,,,,,,,,,,,,,
907,1980,388000,14.5,Quito,Negociable,USED,Mini,Coupé,Austin 1000,,,,,,,,,,,,,,,,,
908,2011,140000,17.0,Loja,Fijo,USED,Ford,Camioneta Doble Cabina,Sport Track,,,,,,,,,,,,,,,,,
909,2021,15630,26.4,Quito,Negociable,USED,Toyota,Sedán,COROLLA HV SEG AC,,,,,,,,,,,,,,,,,
910,2014,145000,14.9,Quito,Fijo,USED,Nissan,Todoterreno,X-Trail,,,,,,,,,,,,,,,,,
911,2002,191000,4.9,Quito,Fijo,USED,Chevrolet,Sedán,Corsa Wind,,,,,,,,,,,,,,,,,
912,2021,20000,15.99,Quito,Fijo,USED,Peugeot,Sedán,301,,,,,,,,,,,,,,,,,
913,2019,90000,41.9,Quito,Negociable,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,,,,
914,2013,160000,12.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,
915,2020,14700,68.5,Quito,Negociable,USED,Honda,Todoterreno,Pilot,,,,,,,,,,,,,,,,,
916,1998,300000,4.9,Quito,Fijo,USED,Volkswagen,Hatchback (5 Puertas),GOL 1.6,,,,,,,,,,,,,,,,,
917,2017,144580,37.9,Quito,Negociable,USED,Ford,Todoterreno,Edge,,,,,,,,,,,,,,,,,
918,2023,0,17.9,Quito,Negociable,NEW,Chery,Todoterreno,TIGGO 2 PRO,,,,,,,,,,,,,,,,,
919,2008,218000,14.7,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,LUV D-MAX,,,,,,,,,,,,,,,,,
920,2012,127000,9.9,Quito,Fijo,USED,Volkswagen,Hatchback (5 Puertas),GOL CONFORT,,,,,,,,,,,,,,,,,
921,2006,180000,8.9,Quito,Negociable,USED,Toyota,Sedán,Corolla 1.8,,,,,,,,,,,,,,,,,
922,2013,145000,19.99,Quito,Fijo,USED,Toyota,Camioneta Doble Cabina,Hilux,,,,,,,,,,,,,,,,,
923,2018,103530,22.9,Quito,Negociable,USED,Kia,Todoterreno,Sportage R,,,,,,,,,,,,,,,,,
924,2019,43000,14.5,Quito,Negociable,USED,Hanteng,Todoterreno,X5,,,,,,,,,,,,,,,,,
925,2017,7709,94.9,Quito,Negociable,USED,Toyota,Todoterreno,FJ Cruiser,,,,,,,,,,,,,,,,,
926,2019,51825,14.9,Ambato,Fijo,USED,Faw,Todoterreno,R7,,,,,,,,,,,,,,,,,
927,2017,27000,23.4,Quito,Fijo,USED,Mazda,Hatchback (5 Puertas),3,,,,,,,,,,,,,,,,,
928,2022,9200,16.5,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),JOY,,,,,,,,,,,,,,,,,
929,2018,60000,19.9,Quito,Negociable,USED,Peugeot,Sedán,301,#1711632,20000 Kms,,,,,,,,,,,,,,,
930,2016,108000,13.8,Quito,Negociable,USED,Great Wall,Todoterreno,Hover H5 Elite,,,,,,,,,,,,,,,,,
931,2021,29000,29.9,Quito,Fijo,USED,JAC,Camioneta Doble Cabina,T8 PRO,,,,,,,,,,,,,,,,,
932,2013,178000,13.9,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
933,2020,64600,22.9,Quito,Negociable,USED,Chevrolet,Crossover,Captiva Premier,,,,,,,,,,,,,,,,,
934,2009,169000,9.9,Quito,Negociable,USED,Ford,Todoterreno,Ecosport,,,,,,,,,,,,,,,,,
